Bad Phone/Email Report
Created On:,"Nov 01, 2022"
School:,All schools
Status:,All statuses
Types:,All types
Roles:,All roles
""
Organization,Organization Type,Parent Name,Bad Email Addresses,Total Email Addresses,Bad/Total Email,Bad Phone Numbers,Total Phone Numbers,Bad/Total Phone,Bad SMS Numbers,Total SMS Numbers,Bad/Total SMS
Automation Org - Do Not Delete,High,SPL9 School District 99-2,0,227,0.00%,9,215,4.19%,0,34,0.00%
Automation institute,High,SPL9 Elementary,0,49,0.00%,1,22,4.55%,0,3,0.00%
Bayside High School,High,SPL9 School District 99-2,0,113,0.00%,1,43,2.33%,2,42,4.76%
Public School Demo,Other,SPL9 School District 99-2,0,1,0.00%,1,1,100.00%,0,0,0.00%
SPL9 Middle School,Middle,SPL9 School District 99-2,0,13,0.00%,4,14,28.57%,4,11,36.36%
SPL9 School District 99-2,District,Blackboard System (PT 99-3),0,159,0.00%,10,110,9.09%,3,44,6.82%
Sunnydale High School,High,SPL9 School District 99-2,0,30,0.00%,1,28,3.57%,0,0,0.00%
Test SPL9 High School,High,SPL9 School District 99-2,2,4401,0.05%,115,577,19.93%,11,64,17.19%
Velammal,High,SPL9 School District 99-2,0,18,0.00%,6,6,100.00%,0,0,0.00%
""
""
""
Recipient,ID,Role,Student,Student ID,Organization,Address,New Number,Date Flagged,Date Deactivated,Has Good Phone,Has Good Email,Has Good SMS,Deactivated,Flagged,Invalid
(260) 2412497,A927BB1998BA58FE7F07525400ED5E24,Recipient,,,Test SPL9 High School,260-2412497,,,"Jun 28, 2016",No,No,No,Yes,No,No
1234567890,BD614A1B5E0B4F467F07525400ED5E24,Recipient,,,Test SPL9 High School,123-4567890,,"Jul 23, 2020","Aug 28, 2020",No,No,No,Yes,Yes,No
"1457b, 1457b",C111C974132E615A6F0B5254006BD586,Community Member,,,SPL9 School District 99-2,5211214454,,"May 10, 2022",,No,Yes,No,No,Yes,No
"1831pr, 1831pr",1831pr,Parent,,,SPL9 School District 99-2,1234567890,,"Jul 23, 2020","Aug 28, 2020",No,No,No,Yes,Yes,No
"1student, 1student",1student,Student,,,Test SPL9 High School,1234567890,,"Jul 23, 2020","Aug 28, 2020",Yes,Yes,No,Yes,Yes,No
"22, PA",parenttest1,Parent,,,Test SPL9 High School,2201125640,,"May 18, 2022",,No,No,No,No,Yes,No
260.241.2497,39CF440F989A58FE7F07525400ED5E24,Recipient,,,Test SPL9 High School,260-2412497,,,"Jun 28, 2016",No,No,No,Yes,No,No
801-607-2825,9CBF098E98B858FE7F07525400ED5E24,Recipient,,,Test SPL9 High School,801-6072825,,"Mar 07, 2017",,No,No,No,No,Yes,No
8014548444,BDDC9DF25E0B4F467F07525400ED5E24,Recipient,,,Test SPL9 High School,801-4548444,,"Apr 20, 2017",,No,No,No,No,Yes,No
"Abarquez, Barry",509809,Student,,,Test SPL9 High School,5550131,,,,Yes,Yes,Yes,No,No,Yes
"Adair, Tim",2250002,Staff,,,Test SPL9 High School,801-123-0147,,"Sep 13, 2021",,Yes,No,No,No,Yes,No
"Adelphin, Fenelon",F377FB60989658FE7F07525400ED5E24,Recipient,,,Test SPL9 High School,954-2135070,,"Apr 20, 2017","May 18, 2020",No,No,No,Yes,Yes,No
"Administrator #2Administrator, SPL9",spl9admin,District Administrator,,,SPL9 School District 99-2,7767766677,,"Sep 13, 2021",,Yes,Yes,Yes,No,Yes,No
