Contact Report
Created On:,"Nov 01, 2022"
Message type:,All
Schools:,SPL9 School District 99-3 R 10/39
Date range:,"Oct 23, 2022 - Oct 29, 2022"
Status:,All
Recipient type:,All
""
Recipient Name,Regarding,Grd,School,Status,Date/Time,Destination,Sender
", ",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no phone number,10/28/2022  5:46AM EDT,,Parlant Technology Support
", ",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no SMS number,10/28/2022  5:46AM EDT,,Parlant Technology Support
", ",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no email address,10/28/2022  5:46AM EDT,,Parlant Technology Support
"Abi, Anderson",Miscellaneous,,,The recipient has no email address,10/25/2022  3:33AM EDT,,Parlant Technology Support
"Albert, Einstein","Miscellaneous - Manish, Ava",8,Springfield Elementary,Recipient hungup - message not played,10/27/2022  8:33AM EDT,+12029813253,
"Albert, Einstein","Miscellaneous - Manish, Ava",8,Springfield Elementary,Email sent,10/27/2022  8:33AM EDT,bindhuja.dinakaran@blackboard.com,
"Albert, Einstein","Miscellaneous - Manish, Ava",8,Springfield Elementary,Recipient hungup - message not played,10/27/2022  8:35AM EDT,+12029813253,
"Albert, Einstein","Miscellaneous - Manish, Ava",8,Springfield Elementary,Email sent,10/27/2022  8:35AM EDT,bindhuja.dinakaran@blackboard.com,
"Albert, Einstein","Miscellaneous - Manish, Ava",8,Springfield Elementary,Recipient hungup - message not played,10/27/2022  8:22AM EDT,+12029813253,
"Albert, Einstein","Miscellaneous - Manish, Ava",8,Springfield Elementary,Email sent,10/27/2022  8:22AM EDT,bindhuja.dinakaran@blackboard.com,
"Badguy, Tavish","Miscellaneous - Kabilan, Tiffany",,,Answering machine,10/27/2022  8:22AM EDT,+12029813253,
"Badguy, Tavish","Miscellaneous - Kabilan, Tiffany",,,Answering machine,10/27/2022  8:22AM EDT,+12029813253,
"Badguy, Tavish","Miscellaneous - Kabilan, Tiffany",,,Recipient hungup - message not played,10/27/2022  8:22AM EDT,+12029248722,
"Badguy, Tavish","Miscellaneous - Kabilan, Tiffany",,,Email sent,10/27/2022  8:22AM EDT,bindhuja.dinakaran@blackboard.com,
"Badguy, Tavish","Miscellaneous - Kabilan, Tiffany",,,Email sent,10/27/2022  8:22AM EDT,bindhuja.dinakaran@blackboard.com,
"Badguy, Tavish","Miscellaneous - Kabilan, Tiffany",,,Email sent,10/27/2022  8:22AM EDT,bindhuja.dinakaran@blackboard.com,
"BB, Aravind",Miscellaneous,,Bayside High School,The recipient has no phone number,10/28/2022 12:42AM EDT,,Parlant Technology Support
"BB, Aravind",Miscellaneous,,Bayside High School,The recipient has no SMS number,10/28/2022 12:42AM EDT,,Parlant Technology Support
"Bindhu, Student",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no email address,10/28/2022  7:50AM EDT,,Parlant Technology Support
"Bindhu, Student",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no phone number,10/28/2022  7:50AM EDT,,Parlant Technology Support
"Bindhu, Student",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no SMS number,10/28/2022  7:50AM EDT,,Parlant Technology Support
"Bindhu, Student",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no email address,10/28/2022  7:52AM EDT,,Parlant Technology Support
"Bindhu, Student",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no phone number,10/28/2022  7:52AM EDT,,Parlant Technology Support
"Bindhu, Student",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no SMS number,10/28/2022  7:52AM EDT,,Parlant Technology Support
"Doe, John","Miscellaneous - Takshil, Areli",10,Springfield Elementary,Email sent,10/27/2022  8:33AM EDT,bindhuja.dinakaran@blackboard.com,
"Doe, John","Miscellaneous - Takshil, Areli",10,Springfield Elementary,Answering machine,10/27/2022  8:35AM EDT,+12029813253,
"Doe, John","Miscellaneous - Takshil, Areli",10,Springfield Elementary,Email sent,10/27/2022  8:35AM EDT,bindhuja.dinakaran@blackboard.com,
"Doe, John","Miscellaneous - Takshil, Areli",10,Springfield Elementary,Answering machine,10/27/2022  8:22AM EDT,+12029813253,
"Doe, John","Miscellaneous - Takshil, Areli",10,Springfield Elementary,Email sent,10/27/2022  8:22AM EDT,bindhuja.dinakaran@blackboard.com,
"Doe, John","Miscellaneous - Takshil, Areli",10,Springfield Elementary,Recipient hungup - message not played,10/27/2022  8:33AM EDT,+12029813253,
"Frenchman, F'renchy",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no phone number,10/28/2022  5:46AM EDT,,Parlant Technology Support
"Frenchman, F'renchy",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no SMS number,10/28/2022  5:46AM EDT,,Parlant Technology Support
"Frenchman, F'renchy",Miscellaneous,,SPL9 School District 99-3 R 10/39,SMTP error delivering message,10/28/2022  5:47AM EDT,thomas.lane@parentlink.net,"Support, Parlant Technology"
"Frenchman, F'renchy",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no phone number,10/28/2022  7:50AM EDT,,Parlant Technology Support
"Frenchman, F'renchy",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no SMS number,10/28/2022  7:50AM EDT,,Parlant Technology Support
"Frenchman, F'renchy",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no phone number,10/28/2022  7:52AM EDT,,Parlant Technology Support
"Frenchman, F'renchy",Miscellaneous,,SPL9 School District 99-3 R 10/39,The recipient has no SMS number,10/28/2022  7:52AM EDT,,Parlant Technology Support
"Frenchman, F'renchy",Miscellaneous,,SPL9 School District 99-3 R 10/39,SMTP error delivering message,10/28/2022  7:51AM EDT,thomas.lane@parentlink.net,"Support, Parlant Technology"
"Frenchman, F'renchy",Miscellaneous,,SPL9 School District 99-3 R 10/39,SMTP error delivering message,10/28/2022  7:53AM EDT,thomas.lane@parentlink.net,"Support, Parlant Technology"
