Parent Report
Created On:,"Nov 01, 2022"
Schools:,All schools
Modified:,"Oct 23, 2022 - Oct 29, 2022"
""
Name,Student ID,Student Name,School,Phone,Text/SMS,Address,Email,Logged In,Last Modified
"Badguy, Tavish",6,"Kabilan, Tiffany",Automation Org - Do Not Delete,202-981-3253,202-981-3253,"66 Unpleasant Ln, , Westdale, 75109",bindhuja.dinakaran@blackboard.com,,"Oct 27, 2022 01:04 PM"
"Jovin, Lilly",104,"Jyothy, Mason",Automation Org - Do Not Delete,202-981-3253,202-981-3253,"350 Fifth Avenue, , New York, 10118",bindhuja.dinakaran@blackboard.com,,"Oct 27, 2022 01:04 PM"
"Jovin, Lilly",105,"Wasan, Luke",Automation Org - Do Not Delete,202-981-3253,202-981-3253,"350 Fifth Avenue, , New York, 10118",bindhuja.dinakaran@blackboard.com,,"Oct 27, 2022 01:04 PM"
"Jovin, Lilly",103,"Jyothy, Avery",Automation Org - Do Not Delete,202-981-3253,202-981-3253,"350 Fifth Avenue, , New York, 10118",bindhuja.dinakaran@blackboard.com,,"Oct 27, 2022 01:04 PM"
"Jovin, Mani",103,"Jyothy, Avery",Automation Org - Do Not Delete,202-981-3253,202-981-3253,"350 Fifth Avenue, , New York, 10118",bindhuja.dinakaran@blackboard.com,,"Oct 27, 2022 01:04 PM"
"Lian, Lakshay",101,"Lion, Isabella",Automation Org - Do Not Delete,202-981-3253,202-981-3253,"4059 Mt Lee Drive, , Hollywood, 90068",bindhuja.dinakaran@blackboard.com,,"Oct 27, 2022 01:04 PM"
"Lian, Lakshay",100,"Lion, Diego",Automation Org - Do Not Delete,202-981-3253,202-981-3253,"4059 Mt Lee Drive, , Hollywood, 90068",bindhuja.dinakaran@blackboard.com,,"Oct 27, 2022 01:04 PM"
"Lian, Lakshay",102,"Lion, Emma",Automation Org - Do Not Delete,202-981-3253,202-981-3253,"4059 Mt Lee Drive, , Hollywood, 90068",bindhuja.dinakaran@blackboard.com,,"Oct 27, 2022 01:04 PM"
"Manish, Saisha",3,"Manish, Elena",Automation Org - Do Not Delete,202-981-3253,202-981-3253,"323 Quiet Valley Drive, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,"Oct 27, 2022 01:04 PM"
"Manish, Saisha",2,"Manish, Ava",Automation Org - Do Not Delete,202-981-3253,202-981-3253,"323 Quiet Valley Drive, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,"Oct 27, 2022 01:04 PM"
"Manish, Saisha",1,"Manish, Lucas",Automation Org - Do Not Delete,202-981-3253,202-981-3253,"323 Quiet Valley Drive, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,"Oct 27, 2022 01:04 PM"
"Mohit, Jesse",5,"Mohit, Jubal",Automation Org - Do Not Delete,202-981-3253,202-981-3253,"1256 N. Commerce Drive, , Saratoga Springs, 84045",bindhuja.dinakaran@blackboard.com,,"Oct 27, 2022 01:04 PM"
"Mohit, Steve",5,"Mohit, Jubal",Automation Org - Do Not Delete,202-981-3253,202-981-3253,"1482 Redwood Rd, , Saratoga Springs, 84043",bindhuja.dinakaran@blackboard.com,,"Oct 27, 2022 01:04 PM"
"Potter, Harry",,,,,2029813253,,,,,"Oct 28, 2022 08:11 AM"
"Takshil, Jane",4,"Takshil, Areli",Automation Org - Do Not Delete,202-981-3253,202-981-3253,"1547 Redwood Rd, , Saratoga Springs, 84045",bindhuja.dinakaran@blackboard.com,,"Oct 27, 2022 01:04 PM"
"Takshil, John",4,"Takshil, Areli",Automation Org - Do Not Delete,202-981-3253,202-981-3253,"273 Aspen Hills Blvd, , Saratoga Springs, 84045",bindhuja.dinakaran@blackboard.com,,"Oct 27, 2022 01:04 PM"
"Walter, Joash",105,"Wasan, Luke",Automation Org - Do Not Delete,202-981-3253,202-981-3253,"221B Baker Street, , Nelson, 65347",bindhuja.dinakaran@blackboard.com,,"Oct 27, 2022 01:04 PM"
"Walter, Mary",105,"Wasan, Luke",Automation Org - Do Not Delete,202-981-3253,202-981-3253,"221B Baker Street, , Nelson, 65347",bindhuja.dinakaran@blackboard.com,,"Oct 27, 2022 01:04 PM"
