Student Report
Created On:,"Nov 01, 2022"
Schools:,All schools
Modified:,"Oct 23, 2022 - Oct 29, 2022"
""
Student ID,Name,Grd,School,Parent,Phone,ext,Test/SMS,Address,Email,Logged In,Last Modified
S,S ,,Annie School,,,,,,,,2022-10-27 09:45:03.00
88,Anderson Abi,10,Automation Org - Do Not Delete,,202-981-3253,,202-981-3253,"7916 Ella Young Drive, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,2022-10-27 08:54:00.00
76,Kristen Alphonse,10,Automation Org - Do Not Delete,,202-981-3253,,202-981-3253,"120 Miramar Circle, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,2022-10-27 08:54:00.00
62,Austin Anaya,10,Automation Org - Do Not Delete,,202-981-3253,,202-981-3253,"112 Anthony Drive, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,2022-10-27 08:54:00.00
16,Cimone Badri,10,Automation Org - Do Not Delete,,202-981-3253,,202-981-3253,"6160 Park Road, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,2022-10-27 08:54:00.00
67,Samantha Bairavi,10,Automation Org - Do Not Delete,,202-981-3253,,202-981-3253,"8220 Confederate Park Ro, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,2022-10-27 08:54:00.00
68,Vernell Bala,10,Automation Org - Do Not Delete,,202-981-3253,,202-981-3253,"761 Timberoaks Drive, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,2022-10-27 08:54:00.00
72,Casey Balakrishna,10,Automation Org - Do Not Delete,,202-981-3253,,202-981-3253,"1024 Idlewood Avenue, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,2022-10-27 08:54:00.00
73,Nikoluas Balakrishna,10,Automation Org - Do Not Delete,,202-981-3253,,202-981-3253,"153 Avondale Avenue, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,2022-10-27 08:54:00.00
77,Montavius Balambika,10,Automation Org - Do Not Delete,,202-981-3253,,202-981-3253,"202 Cr 4860, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,2022-10-27 08:54:00.00
79,Jacob Balambu,10,Automation Org - Do Not Delete,,202-981-3253,,202-981-3253,"600 Alameda Road, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,2022-10-27 08:54:00.00
81,Kalie BalaMurugan,10,Automation Org - Do Not Delete,,202-981-3253,,202-981-3253,"6579 Spanish Trail, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,2022-10-27 08:54:00.00
95,Brittany Balan,10,Automation Org - Do Not Delete,,202-981-3253,,202-981-3253,"312 Driftwood Court, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,2022-10-27 08:54:00.00
97,Jammie Balavan,10,Automation Org - Do Not Delete,,202-981-3253,,202-981-3253,"7829 Hood Street, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,2022-10-27 08:54:00.00
20,Dejon Banu,10,Automation Org - Do Not Delete,,202-981-3253,,202-981-3253,"7240 Willow Creek Road, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,2022-10-27 08:54:00.00
36,Katelyn Biju,10,Automation Org - Do Not Delete,,202-981-3253,,202-981-3253,"6916 Nine Mile Azle Rd., , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,2022-10-27 08:54:00.00
63,Breonna Bindhu,10,Automation Org - Do Not Delete,,202-981-3253,,202-981-3253,"132 Story Lane, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,2022-10-27 08:54:00.00
66,Sierra Brinda,10,Automation Org - Do Not Delete,,202-981-3253,,202-981-3253,"3100 Reese Lane, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,2022-10-27 08:54:00.00
21,Sabrina Caha,10,Automation Org - Do Not Delete,,202-981-3253,,202-981-3253,"8225 Eagle Mountain Circ, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,2022-10-27 08:54:00.00
98,Tracon Caityaka,10,Automation Org - Do Not Delete,,202-981-3253,,202-981-3253,"4216 Rankin Street, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,2022-10-27 08:54:00.00
82,De-Mondre Caka,10,Automation Org - Do Not Delete,,202-981-3253,,202-981-3253,"14157 Mcguire Street, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,2022-10-27 08:54:00.00
22,Maliek Candani,10,Automation Org - Do Not Delete,,202-981-3253,,202-981-3253,"8225 Eagle Mountain Circ, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,2022-10-27 08:54:00.00
35,Brittney Cevin,10,Automation Org - Do Not Delete,,202-981-3253,,202-981-3253,"916 Reese Lane, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,2022-10-27 08:54:00.00
40,Henry Coke,10,Automation Org - Do Not Delete,,202-981-3253,,202-981-3253,"124 Manor Drive, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,2022-10-27 08:54:00.00
51,Kia Cotton,10,Automation Org - Do Not Delete,,202-981-3253,,202-981-3253,"157 East Bozeman Lane, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,2022-10-27 08:54:00.00
52,Dylan Cox,10,Automation Org - Do Not Delete,,202-981-3253,,202-981-3253,"590 Reese Lane, , Westdale, 75019",bindhuja.dinakaran@blackboard.com,,2022-10-27 08:54:00.00
