Bad Phone/Email Report
Created On:,"Nov 01, 2022"
School:,All schools
Status:,All statuses
Types:,All types
Roles:,All roles
""
Organization,Organization Type,Parent Name,Bad Email Addresses,Total Email Addresses,Bad/Total Email,Bad Phone Numbers,Total Phone Numbers,Bad/Total Phone,Bad SMS Numbers,Total SMS Numbers,Bad/Total SMS
Automation Org - Do Not Delete,High,SPL9 School District 99-3 R 10/39,0,312,0.00%,102,400,25.50%,0,135,0.00%
Automation institute,High,SPL9 Elementary,0,49,0.00%,1,22,4.55%,0,3,0.00%
Bayside High School,High,SPL9 School District 99-3 R 10/39,0,118,0.00%,1,42,2.38%,2,41,4.88%
SPL9 Elementary,Elementary,SPL9 School District 99-3 R 10/39,0,8,0.00%,1,6,16.67%,2,4,50.00%
SPL9 Middle School,Middle,SPL9 School District 99-3 R 10/39,0,13,0.00%,3,14,21.43%,4,11,36.36%
SPL9 School District 99-3 R 10/39,District,Blackboard System (PT 99-3),0,148,0.00%,8,103,7.77%,3,43,6.98%
St. Antony's Higher Secondary School,High,SPL9 School District 99-3 R 10/39,0,10,0.00%,3,10,30.00%,0,0,0.00%
Sunnydale High School,High,SPL9 School District 99-3 R 10/39,0,30,0.00%,1,28,3.57%,0,0,0.00%
Test SPL9 High School,High,SPL9 School District 99-3 R 10/39,2,4401,0.05%,115,577,19.93%,11,64,17.19%
Velammal,High,SPL9 School District 99-3 R 10/39,0,18,0.00%,6,6,100.00%,0,0,0.00%
""
""
""
Recipient,ID,Role,Student,Student ID,Organization,Address,New Number,Date Flagged,Date Deactivated,Has Good Phone,Has Good Email,Has Good SMS,Deactivated,Flagged,Invalid
(260) 2412497,A927BB1998BA58FE7F07525400ED5E24,Recipient,,,Test SPL9 High School,260-2412497,,,"Jun 28, 2016",No,No,No,Yes,No,No
1234567890,BD614A1B5E0B4F467F07525400ED5E24,Recipient,,,Test SPL9 High School,123-4567890,,"Jul 23, 2020","Aug 28, 2020",No,No,No,Yes,Yes,No
"1457b, 1457b",C111C974132E615A6F0B5254006BD586,Community Member,,,SPL9 School District 99-3 R 10/39,5211214454,,"May 10, 2022",,No,Yes,No,No,Yes,No
"1831pr, 1831pr",1831pr,Parent,,,SPL9 School District 99-3 R 10/39,1234567890,,"Jul 23, 2020","Aug 28, 2020",No,No,No,Yes,Yes,No
"1student, 1student",1student,Student,,,Test SPL9 High School,1234567890,,"Jul 23, 2020","Aug 28, 2020",Yes,Yes,No,Yes,Yes,No
"22, PA",parent22,Parent,,,"SPL9 Elementary, Test SPL9 High School",2201125640,,"May 18, 2022",,No,No,No,No,Yes,No
260.241.2497,39CF440F989A58FE7F07525400ED5E24,Recipient,,,Test SPL9 High School,260-2412497,,,"Jun 28, 2016",No,No,No,Yes,No,No
801-607-2825,9CBF098E98B858FE7F07525400ED5E24,Recipient,,,Test SPL9 High School,801-6072825,,"Mar 07, 2017",,No,No,No,No,Yes,No
8014548444,BDDC9DF25E0B4F467F07525400ED5E24,Recipient,,,Test SPL9 High School,801-4548444,,"Apr 20, 2017",,No,No,No,No,Yes,No
"Abarquez, Barry",509809,Student,,,Test SPL9 High School,5550131,,,,Yes,Yes,Yes,No,No,Yes
"Abi, Anderson",88,Student,,,Automation Org - Do Not Delete,9813253,,,,Yes,Yes,Yes,No,No,Yes
